index,original_indicator,refined_indicator,question,column
1,Satisfaction with emergency services (firefighting and medical emergencies),First Aid Emergency Services,q6a.1a,122
2,Satisfaction with emergency services (firefighting and medical emergencies),Fire and Emergency Service,q6a.1b,123
3,Satisfaction with solid waste collection and disposal,Collections completed on the scheduled day,q6a.2a,124
4,Satisfaction with solid waste collection and disposal,Solid waste collection services,q6a.2b,125
5,Satisfaction with solid waste collection and disposal,Garbage selection,q6a.2c,126
6,Satisfaction with solid waste collection and disposal,Management of land-fills,q6a.2d,127
7,Satisfaction with water and sanitation,Water Supply,q6a.3,128
8,Satisfaction with water and sanitation,Sewage and Sanitation,q6a.4,129
9,"Satisfaction with condition of streets, signage, cleanliness",Level of street cleanliness,q6a.5a,130
10,"Satisfaction with condition of streets, signage, cleanliness",Condition of streets,q6a.5b,131
11,"Satisfaction with condition of streets, signage, cleanliness",Horizontal and vertical signage,q6a.5c,132
12,Satisfaction with sidewalks,Availability of sidewalks,q6a.7a,137
13,Satisfaction with sidewalks,Usability of sidewalks,q6a.7b,138
14,Satisfaction with sidewalks,Condition of sidewalks,q6a.7c,139
15,"Satisfaction with public parking, safety, availability, signange, location",Safety/security of parking,q6a.6a,133
16,"Satisfaction with public parking, safety, availability, signange, location",Availability of public parking spaces,q6a.6b,134
17,"Satisfaction with public parking, safety, availability, signange, location",Proper signage of public parking,q6a.6c,135
18,"Satisfaction with public parking, safety, availability, signange, location",Location of public parking sports,q6a.6d,136
19,"Satisfaction with parks, squares, streets lighting, environmental protection",Availability of parks and squares,q6b.1a,145
20,"Satisfaction with parks, squares, streets lighting, environmental protection",Usability of parks and squares,q6b.1b,146
21,"Satisfaction with parks, squares, streets lighting, environmental protection",Public lightning of streets and public spaces,q6b.2,147
22,"Satisfaction with parks, squares, streets lighting, environmental protection",Environmental protection,q6b.3,148
23,"Satisfaction with cultural, youth, and sports activities",Cultural activities,q6b.4a,149
24,"Satisfaction with cultural, youth, and sports activities",Youth activities,q6b.4b,150
25,"Satisfaction with cultural, youth, and sports activities",Sport activities,q6b.4c,151
26,Satisfaction with rural and urban planning,Urban and rural planning functioning,q6b.5a,152
27,Satisfaction with rural and urban planning,Implementation of building regulations and control standards,q6b.5b,153
28,Satisfaction with rural and urban planning,Issuing building permits as positive,q6b.5c,154
29,Satisfaction with work of centres for social welfare,Social and family welfare,q6b.6,
30,Satisfaction with work of centres for social welfare,Work of centres for social welfare,q6b.6a,
31,Satisfaction with public transport,Usage of public transport,q6b.7a,155
32,Satisfaction with public transport,Public transport services,q6b.7b,156
33,Satisfaction with public transport,Time it takes to reach their destination,q6b.7c,157
34,Satisfaction with medicines and medical supplies (hospitals and family medical centres),Hospitals - Supply of medicines and medical supplies,q6c.1a,166
35,Satisfaction with medicines and medical supplies (hospitals and family medical centres),Family medical centres - Supply of medicines and medical supplies,q6c.2a,169
36,Satisfaction with medical staff (hospitals and family medical centres),Hospitals - Professionalism of medical staff,q6c.1b,167
37,Satisfaction with medical staff (hospitals and family medical centres),Hospitals - Equal treatment of patients,q6c.1c,168
38,Satisfaction with medical staff (hospitals and family medical centres),Family medical centres - Professionalism of medical staff,q6c.2b,170
39,Satisfaction with medical staff (hospitals and family medical centres),Family medical centres - Equal treatment of patients,q6c.2c,171
40,"Satisfaction with access and quality of education (pre-school, primary, secondary education)",Pre-school education - Access,q6c.3a,172
41,"Satisfaction with access and quality of education (pre-school, primary, secondary education)",Pre-school education - Quality of services provided,q6c.3b,173
42,"Satisfaction with access and quality of education (pre-school, primary, secondary education)",Primary school education - Access,q6c.4a,174
43,"Satisfaction with access and quality of education (pre-school, primary, secondary education)",Primary school education - Quality of services provided,q6c.4b,175
44,"Satisfaction with access and quality of education (pre-school, primary, secondary education)",Secondary education - Access,q6c.5a,176
45,"Satisfaction with access and quality of education (pre-school, primary, secondary education)",Secondary education - Quality of services provided,q6c.5b,177
46,Satisfaction with nature and species conservation,Nature and Species Conservation,q6c.6,178
47,Satisfaction with protection of cultural heritage,Protection of Cultural Heritage,q6c.7,179
48,Satisfaction with public procurement/tenders,Public Procurement/Tenders,q6c.8,180
49,Satisfaction with recruitment of municipal staff,Recruitment of Municipal Staff,q6c.9,181
50,Satisfaction with general cleanliness of the municipality,General Cleanliness of the Municipality,q6c.10,182
51,Satisfaction with accessibility and maintenance of inter-municipal roads and highways,Accessibility and Maintenance of Inter-Municipal Roads And Highways,q6c.11,183
52,Satisfaction with management of municipal funds,Management of Municipal Funds,q6c.12,184
53,Satisfaction with procedures for tax payment,Procedures for Tax Payment,q6c.13,185
54,Satisfaction with Kosovo police,Kosovo Police,q6c.14,186
55,Satisfaction with electricity supply,Electricity Supply,q6c.15,187
56,Satisfaction with phone and postal services,Phone and Postal Services,q6c.16,188
57,Satisfaction with cemetery maintenance,Cemetery Maintenance,q6c.17,189
58,"Satisfaction with mayor, municipal assembly, and municipal administration",Municipal Mayor ,q25a,216
59,"Satisfaction with mayor, municipal assembly, and municipal administration",Municipal Assembly,q25b,217
60,"Satisfaction with mayor, municipal assembly, and municipal administration",Municipal Administration,q25c,218
