index,original_indicator,question,refined_name,col_number,conversion_needed
1,Municipality,m7,Municipality,6,0
2,Satisfaction with emergency services (firefighting and medical emergencies),EmergencyServices,EmergencyServices,320,0
3,Satisfaction with solid waste collection and disposal,SolidWaste,SolidWaste,321,0
4,Satisfaction with water and sanitation,WaterSanitation,WaterSanitation,322,0
5,"Satisfaction with condition of streets, signage, cleanliness",Streets,Streets,323,0
6,Satisfaction with sidewalks,SideWalks,SideWalks,325,0
7,"Satisfaction with public parking, safety, availability, signange, location",PublicParking,PublicParking,324,0
8,"Satisfaction with parks, squares, streets lighting, environmental protection",PublicServicesSatisfaction,PublicServicesSatisfaction,331,0
9,"Satisfaction with cultural, youth, and sports activities",CultureSatisfaction,CultureSatisfaction,332,0
10,Satisfaction with rural and urban planning,UrbanRuralPlaning,UrbanRuralPlaning,333,0
11,Satisfaction with work of centres for social welfare,SocialFamilyWalfare,SocialFamilyWalfare,334,1
12,Satisfaction with public transport,PublicTransport,PublicTransport,335,0
13,Satisfaction with medicines and medical supplies (hospitals and family medical centres),MedicalSupply,MedicalSupply,339,0
14,Satisfaction with medical staff (hospitals and family medical centres),MedicalStaff,MedicalStaff,340,0
15,"Satisfaction with access and quality of education (pre-school, primary, secondary education)",Education,Education,341,0
16,Satisfaction with nature and species conservation,q6c.6,Nature,178,1
17,Satisfaction with protection of cultural heritage,q6c.7,CulturalHeritage,179,1
18,Satisfaction with public procurement/tenders,q6c.8,Procurement,180,1
19,Satisfaction with recruitment of municipal staff,q6c.9,MunicipalRecruitment,181,1
20,Satisfaction with general cleanliness of the municipality,q6c.10,Cleanliness,182,1
21,Satisfaction with accessibility and maintenance of inter-municipal roads and highways,q6c.11,HighwaysAndRoads,183,1
22,Satisfaction with management of municipal funds,q6c.12,FundsManagement,184,1
23,Satisfaction with procedures for tax payment,q6c.13,TaxProcedures,185,1
24,Satisfaction with Kosovo police,q6c.14,KosovoPolice,186,1
25,Satisfaction with electricity supply,q6c.15,ElectricitySupply,187,1
26,Satisfaction with phone and postal services,q6c.16,PhoneAndPost,188,1
27,Satisfaction with cemetery maintenance,q6c.17,CemeteryMaintenance,189,1
28,"Satisfaction with mayor, municipal assembly, and municipal administration",MunicipalityOperations,MunicipalityOperations,342,0
