,Satisfaction with family medical centers,Satisfaction with hospitals,Satisfaction with public health,Satisfaction with primary and secondary schools/education,Satisfaction with waste collection services,Satisfaction with water supply,Satisfaction with sewage and sanitation,Satisfaction with local road maintenance,Satisfaction with maintenance of inter-municipal roads and highways,Satisfaction with traffic and parking control and regulation,Satisfaction with electricity supply,Satisfaction with phone and postal services,Satisfaction with environmental protection,Satisfaction with nature and species conservation,Satisfaction with cultural activities,Satisfaction with sports activities,Satisfaction with emergency services,Satisfaction with urban and rural planning,Satisfaction with social services,Satisfaction with procedures for tax payment,Satisfaction with public transport,Satisfaction with the Mayor,Satisfaction with Municipal Assembly,Satisfaction with Municipal Administration
Pristina,71.9,61.7,67.5,68.4,52.1,63.2,39.7,24.0,47.4,28.4,11.3,63.3,38.5,40.2,61.6,61.8,80.3,40.8,28.8,28.2,,63.6,65.8,62.2
Mitrovica,79.0,46.5,65.1,76.8,61.2,43.2,46.3,37.8,39.7,37.1,15.3,62.5,39.0,39.0,42.5,46.7,67.5,41.4,48.4,35.5,,67.7,69.6,74.9
Mitrovica South,,,,,,,,,,,,,,,,,,,,,,,,
Mitrovica North,,,,,,,,,,,,,,,,,,,,,,,,
Gjilan,84.0,84.0,82.1,70.0,70.9,67.3,64.0,54.4,61.2,62.2,32.1,62.5,59.8,58.7,81.6,85.5,84.7,47.4,44.6,48.0,,82.1,78.6,71.6
Peje,77.2,81.5,80.2,78.4,32.9,64.6,38.4,41.8,51.5,46.8,18.6,70.0,53.3,60.3,70.9,76.2,83.0,65.3,55.4,59.4,,69.0,71.4,68.4
Prizren,80.5,75.6,66.1,71.3,52.6,79.0,69.4,51.1,75.0,49.9,18.7,75.2,57.3,52.5,72.3,76.1,87.1,65.1,38.4,49.1,,60.2,60.9,62.4
Gjakove,82.0,79.8,81.2,76.9,57.3,61.9,47.6,44.0,74.2,59.7,16.0,67.1,66.0,71.8,74.9,79.9,92.7,72.5,38.7,52.5,,70.7,73.1,76.4
Podujeve,76.2,76.5,74.9,79.1,44.1,76.6,55.7,30.7,76.2,45.4,6.7,64.9,64.9,68.1,69.3,78.0,87.3,63.2,49.2,54.2,,71.9,76.1,76.0
Vushtrri,81.4,72.5,75.7,82.5,45.0,29.2,31.0,33.0,61.5,54.6,19.0,51.0,49.0,62.8,71.4,64.9,77.1,59.5,48.4,48.0,,77.4,77.1,77.4
Skenderaj,88.7,84.9,83.2,74.7,37.8,37.0,24.7,35.8,57.7,45.5,22.7,52.7,37.5,59.1,66.2,69.4,57.9,60.1,63.2,55.4,,73.4,65.2,64.1
Leposaviq,82.0,79.3,77.0,89.3,37.9,33.9,50.0,13.6,24.1,12.7,13.1,78.3,24.6,26.8,43.9,40.4,53.8,18.2,49.1,27.0,,38.3,40.0,43.1
Kline,84.6,79.7,81.8,86.3,32.9,47.9,38.7,30.8,63.0,45.3,14.1,59.4,48.9,52.0,58.6,61.1,80.3,58.7,53.4,51.2,,69.6,73.3,73.5
Istog,77.2,77.1,71.6,78.3,49.3,60.6,40.5,31.6,55.9,55.8,20.8,63.8,48.7,52.7,61.2,59.5,74.5,52.5,50.7,52.9,,74.2,69.9,75.3
Decan,90.9,87.0,83.0,78.0,46.8,60.1,15.5,25.5,51.9,35.2,19.0,58.8,58.3,60.7,68.6,68.6,68.8,57.1,56.0,59.7,,80.6,82.8,83.3
Dragash,81.3,76.9,74.3,76.6,37.1,76.7,66.7,41.9,54.6,57.3,18.5,62.7,44.9,44.0,50.6,55.6,37.1,38.3,32.2,29.4,,60.8,55.8,67.9
Suhareke,81.4,78.6,79.1,87.4,57.4,51.2,52.5,42.4,79.1,71.4,15.6,72.6,62.7,66.9,83.7,85.1,90.0,69.2,69.7,67.3,,90.7,87.7,86.8
Rahovec,80.0,74.3,70.5,85.4,58.0,47.5,37.6,25.8,36.5,36.7,24.6,63.6,47.9,49.6,58.4,62.2,76.9,47.4,44.9,42.7,,59.0,66.9,60.0
Viti,89.8,91.8,89.0,87.2,48.4,50.0,39.7,49.4,63.5,50.7,15.2,58.1,54.7,66.9,64.6,66.4,84.7,55.7,47.3,46.2,,76.3,78.8,75.6
Kamenice,83.2,84.2,81.8,79.9,57.1,55.2,55.5,55.2,50.6,51.2,27.6,49.7,62.1,61.1,60.6,66.3,66.0,61.1,60.1,59.4,,65.5,59.4,63.8
Lipjan,89.4,81.1,81.3,76.0,58.2,58.5,44.7,34.7,66.7,56.9,28.1,64.5,59.9,55.4,70.1,66.5,70.0,56.2,42.9,46.2,,44.0,41.5,42.3
Shtime,81.0,77.5,76.7,80.0,60.8,50.7,32.9,41.6,72.0,55.4,13.0,63.6,52.8,55.6,68.6,75.7,68.1,50.0,59.5,53.4,,94.8,93.3,90.7
Ferizaj,78.0,78.8,75.6,73.5,40.7,42.2,48.0,47.7,73.9,44.4,8.1,66.9,37.0,37.7,80.5,83.8,88.6,47.0,44.6,46.5,,85.0,83.5,74.6
Kacanik,79.9,72.5,69.0,77.5,58.2,76.5,56.6,49.3,74.0,65.9,17.0,59.0,62.3,72.3,79.2,78.2,91.2,68.7,54.1,43.9,,64.7,67.4,69.6
Fushe Kosove,85.2,73.1,66.0,76.0,34.9,62.0,40.4,23.1,57.8,41.2,19.8,47.5,30.6,44.8,55.8,57.8,77.0,47.4,51.1,40.5,,75.9,79.2,81.6
Obiliq,78.5,64.0,64.9,68.0,24.4,51.3,21.5,23.8,50.7,32.3,8.9,43.1,13.3,28.6,53.7,56.1,71.7,35.6,32.4,23.1,,51.3,53.9,59.5
Novoberda,66.7,58.3,58.3,63.6,30.0,66.7,30.0,53.8,72.7,50.0,8.3,36.4,45.5,40.0,20.0,20.0,22.2,33.3,40.0,33.3,,42.9,50.0,54.5
Zubin Potok,76.0,73.9,75.0,83.3,26.9,40.0,29.2,12.5,25.0,27.8,32.0,45.8,33.3,33.3,36.4,33.3,50.0,27.8,33.3,41.7,,69.6,63.6,63.2
Shterpce,71.1,73.7,64.4,60.5,73.3,71.1,60.5,62.8,63.4,40.5,11.4,64.3,46.5,42.9,30.0,38.5,63.2,41.9,53.5,37.5,,57.8,45.5,50.0
Zvecan,87.9,78.8,79.4,85.7,22.6,18.2,34.4,12.5,13.3,6.3,21.9,81.8,20.0,14.3,10.3,16.7,54.5,7.7,44.4,22.2,,26.7,31.0,35.7
Gliogovc,75.3,75.2,71.2,79.5,48.1,49.4,32.0,32.5,62.0,44.2,15.0,68.1,56.0,66.0,57.6,56.4,65.8,61.9,49.0,35.5,,69.7,75.0,70.1
Malisheve,80.8,73.0,73.6,85.6,14.9,14.2,4.1,5.5,22.8,18.0,6.9,58.8,20.6,21.8,25.4,28.2,89.9,22.1,14.3,35.5,,69.7,65.1,64.6
Junik,,,,,,,,,,,,,,,,,,,,,,,,
Mamushe,,,,,,,,,,,,,,,,,,,,,,,,
Hani I Elezit,,,,,,,,,,,,,,,,,,,,,,,,
Gracanica,,,,,,,,,,,,,,,,,,,,,,,,
Ranillug,,,,,,,,,,,,,,,,,,,,,,,,
Partesh,,,,,,,,,,,,,,,,,,,,,,,,
Kllokot,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,80.2,75.2,74.7,76.6,49.1,57.3,45.1,37.6,59.3,46.3,17.1,63.7,49.6,52.8,65.2,67.5,79.1,53.7,45.1,46.1,,69.5,69.8,69.1
