,Satisfaction with family medical centers,Satisfaction with hospitals,Satisfaction with public health,Satisfaction with primary and secondary schools/education,Satisfaction with waste collection services,Satisfaction with water supply,Satisfaction with sewage and sanitation,Satisfaction with local road maintenance,Satisfaction with maintenance of inter-municipal roads and highways,Satisfaction with traffic and parking control and regulation,Satisfaction with electricity supply,Satisfaction with phone and postal services,Satisfaction with environmental protection,Satisfaction with nature and species conservation,Satisfaction with cultural activities,Satisfaction with sports activities,Satisfaction with emergency services,Satisfaction with urban and rural planning,Satisfaction with social services,Satisfaction with procedures for tax payment,Satisfaction with public transport,Satisfaction with protection of cultural heritage,Satisfaction with public procurement/tenders,Satisfaction with recruitment of local staff,Satisfaction with the Mayor,Satisfaction with Municipal Assembly,Satisfaction with Municipal Administration
Pristina,72.0,61.1,62.7,63.9,50.6,70.0,62.0,40.9,48.5,41.6,66.8,68.4,49.1,42.2,51.7,58.8,67.4,40.5,32.7,44.5,58.8,46.7,32.5,49.1,63.7,55.1,57.3
Mitrovica,74.7,60.1,68.4,73.5,55.1,54.6,61.0,40.4,42.9,46.0,52.5,79.4,45.6,45.7,60.8,59.8,77.7,46.2,46.4,56.5,63.2,51.1,44.1,44.7,70.9,72.6,70.7
Mitrovica South,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitrovica North,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gjilan,72.4,68.7,58.3,65.9,70.4,64.4,59.9,39.6,37.1,41.1,54.5,66.5,42.8,45.6,55.1,55.2,70.3,54.1,31.3,30.8,57.0,51.3,29.4,32.4,49.6,44.2,45.3
Peje,76.7,66.5,73.6,66.9,57.1,73.4,51.3,42.0,41.5,42.4,58.8,62.9,54.7,49.5,53.3,59.5,80.6,49.2,35.6,51.9,69.2,57.6,47.1,63.2,66.2,62.6,55.9
Prizren,77.6,67.2,76.4,75.3,64.8,81.2,73.7,59.8,75.0,58.5,60.3,74.7,68.8,65.9,77.5,79.1,90.9,65.6,40.5,65.1,78.3,79.3,51.4,64.2,88.4,87.7,78.3
Gjakove,71.9,61.0,58.6,64.9,51.1,75.6,55.7,50.0,48.9,38.5,45.3,55.1,34.2,36.8,52.0,53.2,81.5,39.0,28.0,56.7,75.4,61.3,34.5,35.7,34.5,45.1,42.6
Podujeve,73.3,62.9,66.3,69.0,36.2,57.7,47.4,38.1,50.0,38.4,59.5,59.3,47.9,48.0,45.3,51.1,71.1,53.9,38.3,43.7,64.3,60.6,49.8,54.7,67.2,66.7,64.0
Vushtrri,74.4,71.6,57.3,70.3,41.0,19.7,38.1,36.8,44.5,43.1,29.0,60.4,54.8,54.0,59.0,65.9,72.3,60.6,33.0,39.1,54.8,53.1,44.7,43.1,57.3,55.1,45.1
Skenderaj,67.1,62.7,59.6,63.2,33.7,48.8,33.3,34.1,43.1,42.8,31.5,56.2,45.8,49.3,58.8,58.6,58.8,52.1,44.8,39.6,58.2,50.7,24.5,42.8,70.6,66.7,69.2
Leposaviq,75.4,80.0,77.0,87.7,54.2,72.1,70.0,34.4,33.3,36.7,55.7,90.0,50.8,47.4,72.4,70.7,84.0,48.0,59.3,63.2,76.3,55.8,40.0,17.9,50.0,46.6,49.1
Kline,58.3,52.6,59.5,76.3,34.3,35.9,33.6,37.1,45.7,37.1,37.1,51.6,43.0,42.9,52.2,48.0,67.8,51.7,35.4,43.5,63.6,64.3,39.6,57.7,69.7,70.1,65.9
Istog,79.0,68.4,67.3,67.3,53.1,77.0,44.1,44.6,45.1,45.0,61.7,65.4,56.7,46.9,62.2,64.5,79.8,55.7,48.2,55.9,72.2,50.0,35.0,55.5,72.3,69.3,73.8
Decan,68.6,58.8,69.6,64.7,42.0,69.2,25.0,31.0,36.2,44.5,60.8,69.3,53.7,53.5,59.7,63.7,68.6,59.0,45.4,51.5,72.4,59.7,49.5,63.9,73.9,73.8,75.2
Dragash,89.3,81.6,86.1,67.2,68.7,81.1,65.6,42.6,49.6,51.8,50.8,70.7,71.7,64.9,63.5,57.7,76.1,60.7,49.5,56.5,53.9,63.2,47.8,62.6,69.6,69.4,76.3
Suhareke,72.2,68.4,75.2,71.0,59.1,54.5,68.0,46.6,66.8,66.2,44.2,71.1,67.2,61.8,78.4,78.7,88.7,66.5,53.6,66.5,85.3,77.6,47.3,72.8,79.4,82.0,82.9
Rahovec,54.8,53.4,50.9,65.2,54.2,64.3,47.3,39.8,42.7,28.8,30.9,37.3,39.8,40.1,29.5,35.8,47.9,34.0,37.2,46.6,42.0,41.2,35.7,34.5,43.7,41.7,41.4
Viti,74.4,68.8,59.8,55.8,54.1,40.9,34.1,19.4,32.0,48.4,43.0,81.6,39.2,46.5,63.5,64.3,92.7,39.0,22.9,63.7,47.5,50.8,32.2,71.2,63.1,65.3,72.2
