problem,year,Pristina,Mitrovica,Mitrovica North,Gjilan,Peje,Prizren,Gjakove,Podujeve,Vushtrri,Skenderaj,Leposaviq,Kline,Istog,Decan,Dragash,Suhareke,Rahovec,Viti,Kamenice,Lipjan,Shtime,Ferizaj,Kacanik,Fushe Kosove,Obiliq,Novoberda,Zubin Potok,Shterpce,Zvecan,Gllogoc,Malisheve,Junik,Mamushe,Hani I Elezit,Gracanica,Ranillug,Partesh,Kllokot,Kosovo
Lack of economic growth,2015,0.129,0.245,,0.185,0.22,,0.325,0.125,0.06,0.315,0.145,0.24,0.255,0.095,0.223,0.215,0.24,0.175,0.23,0.52,0.235,0.155,0.2,0.19,0.115,0.156,,0.175,0.138,0.18,0.428,0.22,0.4,0.24,,,,,0.189
Road infrastructure,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,
Unemployment,2015,0.439,0.4,0.237,0.57,0.365,0.488,0.5,0.645,0.695,0.53,0.265,0.41,0.408,0.615,0.62,0.635,0.295,0.525,0.44,0.265,0.45,0.44,0.575,0.56,0.32,,0.3,0.331,0.309,0.51,0.32,0.43,0.37,0.49,,0.35,0.41,0.3,0.435
Crime,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.14,0.13,,
Corruption,2015,0.095,0.09,,,0.18,0.195,,,,,,,0.125,0.11,,0.06,,,0.095,,,0.135,0.155,,,0.156,,,0.138,0.09,0.085,0.31,,,0.335,,,0.11,0.094
Poverty/Low standard of living,2015,,,0.336,0.09,,0.082,0.085,0.105,,0.105,0.38,,,,0.065,,0.095,0.07,,,0.085,,,0.12,,0.49,0.422,0.113,0.202,,,,,,0.19,0.13,,0.16,0.095
Inter-ethnic relations,2015,,,0.145,,,,,,,,,,,,,,,,,,,,,,,,0.078,,,,,,,,,,,,
Poor water supply,2015,,,,,,,,,0.06,,,0.115,,,,,,,,,,,,,,,,,,,,,0.13,0.087,,,,,
Environmental pollution,2015,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,
Lack of economic growth,2012,,,,,0.14,,0.07,,,0.07,,,0.04,0.105,,,,,,,,,,,,,,,,,,0.029,,,,,,,
Road infrastructure,2012,0.133,,,,,,,,,,,,,,0.08,,,,,0.1,0.125,0.055,,,,,,,,0.12,0.045,0.029,,0.048,,,,,
Lack of general or personal security,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,
Limited freedom of movement,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144,,,,,,,,,0.067,,,
Unemployment,2012,0.474,0.559,,0.57,0.605,0.554,0.71,0.695,0.465,0.64,0.215,0.545,0.71,0.58,0.6,0.61,0.57,0.455,0.725,0.54,0.69,0.7,0.715,0.515,0.38,0.469,0.298,0.413,0.196,0.515,0.61,0.769,0.462,0.596,0.385,0.471,0.346,0.279,0.544
Crime,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,,,,,,,,,,,
Corruption,2012,,,,0.11,0.055,,,0.04,,,,0.075,,,,,0.095,0.175,0.095,,,,,,,,,0.056,,,0.09,,,,,0.067,,0.058,
Poverty/Low standard of living,2012,,0.076,,0.1,,,0.085,,,,0.09,0.075,,0.085,,,0.08,0.14,0.085,,,,,,,0.146,,0.163,,,,,,,0.09,0.096,0.125,0.106,
Inter-ethnic relations,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,,,,,,,,,,,
Poor electricity supply,2012,,0.122,,,,0.104,0.09,0.11,0.13,0.09,0.365,,0.075,,,0.1,,,,,0.055,0.095,0.085,,0.085,,0.183,,0.455,0.13,,0.029,0.096,,0.105,,,,0.08
Poor water supply,2012,,,,,,0.158,,,0.17,,,0.145,,,0.12,0.09,,,,0.1,,,0.115,0.225,,0.135,,,0.089,,,,0.202,0.221,,,,,0.061
Environmental pollution,2012,0.087,,,,,,,,,,,,,,,,,,,,,,,0.06,0.185,,,,,,,,,,,,,,
Poorly functioning rubbish collection service ,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,,,,,,,
