indicators,year,Pristina,Mitrovica,Mitrovica North,Gjilan,Peje,Prizren,Gjakove,Podujeve,Vushtrri,Skenderaj,Leposaviq,Kline,Istog,Decan,Dragash,Suhareke,Rahovec,Viti,Kamenice,Lipjan,Shtime,Ferizaj,Kacanik,Fushe Kosove,Obiliq,Novoberda,Zubin Potok,Shterpce,Zvecan,Gllogoc,Malisheve,Junik,Mamushe,Hani I Elezit,Gracanica,Ranillug,Partesh,Kllokot,Kosovo
family medical centers,2003,0.719,0.790,,0.840,0.772,0.805,0.820,0.762,0.814,0.887,0.820,0.846,0.772,0.909,0.813,0.814,0.800,0.898,0.832,0.894,0.810,0.780,0.799,0.852,0.785,0.667,0.760,0.711,0.879,0.753,0.808,,,,,,,,0.802
family medical centers,2006,0.720,0.747,,0.724,0.767,0.776,0.719,0.733,0.744,0.671,0.754,0.583,0.790,0.686,0.893,0.722,0.548,0.744,0.760,0.763,0.733,0.673,0.609,0.733,0.775,0.833,0.846,0.622,0.848,0.732,0.707,,,,,,,,0.726
family medical centers,2009,0.884,0.901,,0.507,0.678,0.709,0.316,0.825,0.790,0.977,0.989,0.402,0.750,0.594,0.254,0.366,0.800,0.732,0.893,0.757,0.943,0.694,0.769,0.853,0.670,0.762,0.966,0.865,0.975,0.681,0.500,0.843,1.000,0.904,,,,,0.720
family medical centers,2012,0.474,0.437,0.445,0.445,0.582,0.441,0.442,0.574,0.410,0.284,0.735,0.365,0.340,0.363,0.559,0.544,0.588,0.534,0.706,0.568,0.442,0.567,0.536,0.551,0.483,0.674,0.771,0.426,0.823,0.637,0.505,0.665,0.716,0.682,0.658,0.523,0.435,0.463,0.525
family medical centers,2015,0.489,0.389,0.355,0.287,0.326,0.391,0.674,0.438,0.320,0.562,0.437,0.479,0.595,0.393,0.793,0.236,0.762,0.680,0.525,0.593,0.410,0.244,0.362,0.633,0.442,0.385,0.191,0.490,0.560,0.414,0.401,0.201,0.746,0.672,0.256,0.870,0.803,0.857,0.478
hospitals,2003,0.617,0.465,,0.840,0.815,0.756,0.798,0.765,0.725,0.849,0.793,0.797,0.771,0.870,0.769,0.786,0.743,0.918,0.842,0.811,0.775,0.788,0.725,0.731,0.640,0.583,0.739,0.737,0.788,0.752,0.730,,,,,,,,0.752
hospitals,2006,0.611,0.601,,0.687,0.665,0.672,0.610,0.629,0.716,0.627,0.800,0.526,0.684,0.588,0.816,0.684,0.534,0.688,0.706,0.737,0.671,0.650,0.529,0.626,0.600,0.667,0.880,0.610,0.848,0.641,0.697,,,,,,,,0.651
hospitals,2009,0.770,0.873,,0.426,0.612,0.717,0.282,0.658,0.787,0.971,0.956,0.716,0.732,0.584,0.254,0.333,0.751,0.698,0.672,0.694,0.909,0.653,0.664,0.046,0.650,0.617,0.955,0.705,0.915,0.659,0.420,0.513,1.000,0.581,,,,,0.652
hospitals,2012,0.449,0.455,,0.407,0.580,0.324,0.456,0.537,0.410,0.299,0.747,0.383,0.390,0.389,0.480,0.389,0.603,0.544,0.618,0.480,0.408,0.398,0.379,0.516,0.417,0.517,0.797,0.436,0.774,0.577,0.626,0.481,0.427,0.436,0.693,0.554,0.500,0.488,0.485
hospitals,2015,0.430,0.386,0.414,0.273,0.362,0.372,0.663,0.486,0.307,0.509,0.532,0.492,0.596,0.363,0.487,0.317,0.552,0.652,0.493,0.644,0.465,0.238,0.394,0.611,0.444,0.171,0.130,0.646,0.587,0.357,0.352,0.336,0.560,0.380,0.249,0.873,0.802,0.765,0.458
