indicator,year,Pristina,Mitrovica,Mitrovica North,Gjilan,Peje,Prizren,Gjakove,Podujeve,Vushtrri,Skenderaj,Leposaviq,Kline,Istog,Decan,Dragash,Suhareke,Rahovec,Viti,Kamenice,Lipjan,Shtime,Ferizaj,Kacanik,Fushe Kosove,Obiliq,Novoberda,Zubin Potok,Shterpce,Zvecan,Gllogoc,Malisheve,Junik,Mamushe,Hani I Elezit,Gracanica,Ranillug,Partesh,Kllokot,Kosovo
access to and quality of preschool education,2012,0.854,0.815,,0.927,0.762,0.883,0.69,0.875,0.803,0.856,0.948,0.755,0.689,0.674,0.805,0.902,0.853,0.756,0.895,0.845,0.905,0.961,0.902,0.866,0.846,0.887,1,0.866,0.985,0.903,0.836,0.943,0.95,0.902,0.924,0.839,0.659,0.549,0.843
access to and quality of preschool education,2015,0.886,0.87,0.393,0.813,0.885,0.752,0.958,0.455,0.87,0.85,0.515,0.779,0.945,0.595,0.935,0.653,0.923,0.942,0.84,0.793,0.767,0.688,0.866,0.93,0.814,0.448,0.311,0.797,0.739,0.682,0.621,0.77,0.99,0.923,0.358,0.91,0.85,0.895,0.768
cemetery maintenance,2012,0.54,0.583,,0.751,0.702,0.479,0.484,0.471,0.38,0.516,0.654,0.634,0.862,0.573,0.483,0.589,0.518,0.573,0.753,0.636,0.583,0.55,0.625,0.52,0.661,0.493,0.475,0.258,0.587,0.564,0.597,0.441,0.731,0.711,0.477,0.439,0.643,0.366,0.569
cemetery maintenance,2015,0.766,0.803,0.336,0.583,0.39,0.266,0.685,0.31,0.583,0.31,0.432,0.575,0.525,0.377,0.481,0.437,0.387,0.343,0.548,0.635,0.65,0.47,0.45,0.84,0.555,0.333,0.333,0.669,0.548,0.185,0.48,0.71,0.99,0.702,0.325,0.82,0.57,0.64,0.515
cultural activities,2003,0.616,0.425,,0.816,0.709,0.723,0.749,0.693,0.714,0.662,0.439,0.586,0.612,0.686,0.506,0.837,0.584,0.646,0.606,0.701,0.686,0.805,0.792,0.558,0.537,0.2,0.364,0.3,0.103,0.576,0.254,,,,,,,,0.652
cultural activities,2006,0.517,0.608,,0.551,0.533,0.775,0.52,0.453,0.59,0.588,0.724,0.522,0.622,0.597,0.635,0.784,0.295,0.635,0.664,0.622,0.661,0.748,0.579,0.543,0.486,0.545,0.44,0.302,0.567,0.727,0.673,,,,,,,,0.598
cultural activities,2009,0.793,0.659,,0.359,0.707,0.681,0.194,0.45,0.842,0.977,0.92,0.568,0.383,0.552,0.95,0.678,0.723,0.426,0.941,0.798,0.932,0.547,0.574,0.971,0.485,0.403,0.41,0.071,0.372,0.688,0.642,0.412,0.835,0.614,,,,,0.622
cultural activities,2012,0.424,0.455,,0.397,0.438,0.56,0.426,0.47,0.325,0.464,0.474,0.395,0.432,0.227,0.152,0.549,0.633,0.617,0.602,0.386,0.356,0.645,0.332,0.42,0.372,0.344,0.293,0.045,0.2,0.522,0.441,0.306,0.471,0.406,0.102,0.091,0.341,0.208,0.419
cultural activities,2015,0.673,0.4,0.211,0.429,0.879,0.361,0.54,0.206,0.615,0.405,0.08,0.477,0.635,0.276,0.242,0.47,0.43,0.9,0.409,0.739,0.575,0.497,0.759,0.439,0.657,0.135,0.126,0.438,0.436,0.266,0.357,0.38,0.687,0.721,0.263,0.8,0.59,0.515,0.477
electricity supply,2003,0.113,0.153,,0.321,0.186,0.187,0.16,0.067,0.19,0.227,0.131,0.141,0.208,0.19,0.185,0.156,0.246,0.152,0.276,0.281,0.13,0.081,0.17,0.198,0.089,0.083,0.32,0.114,0.219,0.15,0.069,,,,,,,,0.171
electricity supply,2006,0.668,0.525,,0.545,0.588,0.603,0.453,0.595,0.29,0.315,0.557,0.371,0.617,0.608,0.508,0.442,0.309,0.43,0.14,0.318,0.589,0.711,0.296,0.689,0.551,0.667,0.852,0.283,0.688,0.548,0.634,,,,,,,,0.523
electricity supply,2009,0.735,0.417,,0.311,0.343,0.265,0.242,0.542,0.387,0.954,0.571,0.491,0.216,0.323,0.361,0.434,0.278,0.322,0.422,0.792,0.67,0.586,0.667,0.193,0.476,0.521,0.709,0.036,0.976,0.651,0.329,0.138,0.264,0.842,,,,,0.466
electricity supply,2012,0.688,0.341,,0.75,0.53,0.542,0.568,0.382,0.17,0.456,0.188,0.39,0.431,0.164,0.707,0.616,0.282,0.665,0.858,0.671,0.7,0.484,0.468,0.427,0.474,0.68,0.068,0.863,0.041,0.228,0.479,0.763,0.527,0.92,0.506,0.884,0.884,0.462,0.504
electricity supply,2015,0.886,0.95,0.395,0.885,0.685,0.863,0.925,0.645,0.705,0.865,0.45,0.805,0.875,0.437,0.868,0.61,0.585,0.875,0.815,0.53,0.655,0.764,0.834,0.93,0.834,0.469,0.444,0.7,0.553,0.25,0.64,0.72,0.31,0.913,0.325,0.97,0.98,0.97,0.715
environmental protection,2003,0.385,0.39,,0.598,0.533,0.573,0.66,0.649,0.49,0.375,0.246,0.489,0.487,0.583,0.449,0.627,0.479,0.547,0.621,0.599,0.528,0.37,0.623,0.306,0.133,0.455,0.333,0.465,0.2,0.56,0.206,,,,,,,,0.496
environmental protection,2006,0.491,0.456,,0.428,0.547,0.688,0.342,0.479,0.548,0.458,0.508,0.43,0.567,0.537,0.717,0.672,0.398,0.392,0.497,0.384,0.596,0.484,0.52,0.439,0.364,0.444,0.375,0.341,0.5,0.652,0.587,,,,,,,,0.507
environmental protection,2009,0.635,0.572,,0.282,0.468,0.333,0.418,0.387,0.493,0.971,0.9,0.581,0.305,0.652,0.934,0.46,0.561,0.489,0.765,0.757,0.761,0.403,0.608,0.101,0.535,0.357,0.476,0.118,0.153,0.539,0.534,0.588,0.813,0.354,,,,,0.517
environmental protection,2012,0.31,0.285,,0.47,0.606,0.682,0.565,0.653,0.475,0.66,0.494,0.444,0.455,0.413,0.519,0.707,0.427,0.497,0.605,0.5,0.598,0.702,0.679,0.409,0.115,0.629,0.093,0.394,0.313,0.488,0.474,0.679,0.755,0.595,0.282,0.186,0.419,0.245,0.502
environmental protection,2015,0.485,0.348,0.257,0.5,0.645,0.512,0.595,0.615,0.745,0.39,0.295,0.33,0.437,0.231,0.255,0.345,0.705,0.73,0.45,0.789,0.655,0.575,0.325,0.31,0.34,0.125,0.079,0.381,0.376,0.43,0.365,0.77,0.626,0.327,0.25,0.88,0.6,0.606,0.466
family medical centers,2003,0.719,0.79,,0.84,0.772,0.805,0.82,0.762,0.814,0.887,0.82,0.846,0.772,0.909,0.813,0.814,0.8,0.898,0.832,0.894,0.81,0.78,0.799,0.852,0.785,0.667,0.76,0.711,0.879,0.753,0.808,,,,,,,,0.802
family medical centers,2006,0.72,0.747,,0.724,0.767,0.776,0.719,0.733,0.744,0.671,0.754,0.583,0.79,0.686,0.893,0.722,0.548,0.744,0.76,0.763,0.733,0.673,0.609,0.733,0.775,0.833,0.846,0.622,0.848,0.732,0.707,,,,,,,,0.726
family medical centers,2009,0.884,0.901,,0.507,0.678,0.709,0.316,0.825,0.79,0.977,0.989,0.402,0.75,0.594,0.254,0.366,0.8,0.732,0.893,0.757,0.943,0.694,0.769,0.853,0.67,0.762,0.966,0.865,0.975,0.681,0.5,0.843,1,0.904,,,,,0.72
family medical centers,2012,0.474,0.437,0.445,0.445,0.582,0.441,0.442,0.574,0.41,0.284,0.735,0.365,0.34,0.363,0.559,0.544,0.588,0.534,0.706,0.568,0.442,0.567,0.536,0.551,0.483,0.674,0.771,0.426,0.823,0.637,0.505,0.665,0.716,0.682,0.658,0.523,0.435,0.463,0.525
family medical centers,2015,0.489,0.389,0.355,0.287,0.326,0.391,0.674,0.438,0.32,0.562,0.437,0.479,0.595,0.393,0.793,0.236,0.762,0.68,0.525,0.593,0.41,0.244,0.362,0.633,0.442,0.385,0.191,0.49,0.56,0.414,0.401,0.201,0.746,0.672,0.256,0.87,0.803,0.857,0.478
